2020-04-27 17:35:54,846:<module>:INFO:St. George   : Mean: -0.3 Sv, Max: -0.7 Sv in Oct, Min:  0.1 Sv in Jul, El Nino: -0.2 Sv, La Nina: -0.4 Sv.
2020-04-27 17:35:54,904:<module>:INFO:Solomon      : Mean: 4.6 Sv, Max: 9.9 Sv in Jul, Min:  1.5 Sv in Dec, El Nino:  3.5 Sv, La Nina: 4.7 Sv.
2020-04-27 17:35:54,964:<module>:INFO:MC at 9N     : Mean: -19.1 Sv, Max: -20.2 Sv in Nov, Min: -17.9 Sv in Sep, El Nino: -19.8 Sv, La Nina: -17.8 Sv.
2020-04-27 17:35:55,029:<module>:INFO:MC at 6.4N   : Mean: -16.3 Sv, Max: -19.0 Sv in Jun, Min: -13.3 Sv in Jan, El Nino: -15.9 Sv, La Nina: -15.8 Sv.
2020-04-27 17:41:09,557:log_wbc:INFO:Solomon lag=0: Mean:  4.6 Sv, Max:  9.9 Sv in Jul, Min:  1.5 Sv in Dec, El Nino:  3.5 Sv, La Nina:  4.7 Sv.
2020-04-27 17:41:09,617:log_wbc:INFO:Solomon lag=1: Mean:  4.6 Sv, Max:  9.9 Sv in Aug, Min:  1.5 Sv in Dec, El Nino:  3.7 Sv, La Nina:  4.8 Sv.
2020-04-27 17:41:09,674:log_wbc:INFO:Solomon lag=2: Mean:  4.7 Sv, Max:  9.9 Sv in Sep, Min:  1.5 Sv in May, El Nino:  4.1 Sv, La Nina:  5.0 Sv.
2020-04-27 17:41:09,732:log_wbc:INFO:Solomon lag=3: Mean:  4.7 Sv, Max:  9.9 Sv in Oct, Min:  1.5 Sv in Jun, El Nino:  4.4 Sv, La Nina:  5.1 Sv.
2020-04-27 17:41:09,790:log_wbc:INFO:Solomon lag=4: Mean:  4.7 Sv, Max:  9.9 Sv in Nov, Min:  1.5 Sv in Jul, El Nino:  4.6 Sv, La Nina:  5.3 Sv.
2020-04-27 17:41:57,780:log_wbc:INFO:SGC=0        : Mean: -0.3 Sv, Max: -0.7 Sv in Oct, Min:  0.1 Sv in Jul, El Nino: -0.2 Sv, La Nina: -0.4 Sv.
2020-04-27 17:41:57,843:log_wbc:INFO:SGC=1        : Mean: -0.3 Sv, Max: -0.7 Sv in Nov, Min:  0.1 Sv in Aug, El Nino: -0.1 Sv, La Nina: -0.4 Sv.
2020-04-27 17:41:57,907:log_wbc:INFO:SGC=2        : Mean: -0.3 Sv, Max: -0.7 Sv in Dec, Min:  0.1 Sv in Sep, El Nino: -0.1 Sv, La Nina: -0.4 Sv.
2020-04-27 17:41:57,967:log_wbc:INFO:SGC=3        : Mean: -0.3 Sv, Max: -0.7 Sv in Jan, Min:  0.1 Sv in Oct, El Nino: -0.1 Sv, La Nina: -0.4 Sv.
2020-04-27 17:41:58,029:log_wbc:INFO:SGC=4        : Mean: -0.3 Sv, Max: -0.7 Sv in Feb, Min:  0.1 Sv in Nov, El Nino: -0.1 Sv, La Nina: -0.4 Sv.
2020-04-27 17:42:18,304:log_wbc:INFO:VS=0         : Mean:  6.8 Sv, Max:  9.5 Sv in Jul, Min:  5.0 Sv in Feb, El Nino:  7.6 Sv, La Nina:  5.7 Sv.
2020-04-27 17:42:18,364:log_wbc:INFO:VS=1         : Mean:  6.8 Sv, Max:  9.5 Sv in Aug, Min:  5.0 Sv in Mar, El Nino:  7.5 Sv, La Nina:  5.7 Sv.
2020-04-27 17:42:18,421:log_wbc:INFO:VS=2         : Mean:  6.8 Sv, Max:  9.5 Sv in Sep, Min:  5.0 Sv in Apr, El Nino:  7.6 Sv, La Nina:  5.8 Sv.
2020-04-27 17:42:18,479:log_wbc:INFO:VS=3         : Mean:  6.8 Sv, Max:  9.5 Sv in Oct, Min:  5.0 Sv in May, El Nino:  7.6 Sv, La Nina:  6.0 Sv.
2020-04-27 17:42:18,537:log_wbc:INFO:VS=4         : Mean:  6.7 Sv, Max:  9.5 Sv in Nov, Min:  5.0 Sv in Jun, El Nino:  7.6 Sv, La Nina:  6.2 Sv.
2020-04-27 17:43:30,754:log_wbc:INFO:MC 7N=0      : Mean: -20.3 Sv, Max: -23.0 Sv in May, Min: -18.6 Sv in Jan, El Nino: -19.6 Sv, La Nina: -19.8 Sv.
2020-04-27 17:43:30,819:log_wbc:INFO:MC 7N=1      : Mean: -20.3 Sv, Max: -23.0 Sv in Jun, Min: -18.6 Sv in Feb, El Nino: -20.2 Sv, La Nina: -19.7 Sv.
2020-04-27 17:43:30,878:log_wbc:INFO:MC 7N=2      : Mean: -20.3 Sv, Max: -23.0 Sv in Jul, Min: -18.6 Sv in Mar, El Nino: -20.4 Sv, La Nina: -19.5 Sv.
2020-04-27 17:43:30,941:log_wbc:INFO:MC 7N=3      : Mean: -20.3 Sv, Max: -23.0 Sv in Aug, Min: -18.6 Sv in Apr, El Nino: -20.5 Sv, La Nina: -19.1 Sv.
2020-04-27 17:43:31,000:log_wbc:INFO:MC 7N=4      : Mean: -20.3 Sv, Max: -23.0 Sv in Sep, Min: -18.6 Sv in May, El Nino: -20.3 Sv, La Nina: -18.9 Sv.
2020-04-27 17:44:20,132:log_wbc:INFO:MC 8N=0      : Mean: -21.4 Sv, Max: -22.7 Sv in May, Min: -19.6 Sv in Sep, El Nino: -21.1 Sv, La Nina: -20.2 Sv.
